individual	left	right	length	bin
EUR_9	11231187	11305525	74338	10
EUR_9	11360944	11376232	15288	2
EUR_9	11648276	11667319	19043	3
EUR_9	12485443	12493640	8197	2
EUR_9	13779593	13847038	67445	9
EUR_9	16017613	16026806	9193	2
EUR_9	16635937	16643210	7273	1
EUR_9	19634530	19653747	19217	3
EUR_9	23628581	23672001	43420	6
EUR_9	24930056	24952712	22656	3
EUR_9	29160901	29295582	134681	18
EUR_9	31400738	31404223	3485	1
EUR_9	31871395	31914145	42750	6
EUR_9	32404436	32427441	23005	3
EUR_9	35872885	36062214	189329	24
EUR_9	36101549	36405919	304370	39
EUR_9	36498078	36506563	8485	2
EUR_9	40605745	40610338	4593	1
EUR_9	47306832	47401302	94470	12
EUR_9	47939354	47988402	49048	7
EUR_10	2586193	2591704	5511	1
EUR_10	3104088	3104808	720	1
EUR_10	6602745	6607910	5165	1
EUR_10	6632925	6679305	46380	6
EUR_10	7585432	7622626	37194	5
EUR_10	11216018	11300483	84465	11
EUR_10	11413058	11448832	35774	5
EUR_10	11551550	11573908	22358	3
EUR_10	11599177	11649569	50392	7
EUR_10	13126809	13266111	139302	18
EUR_10	15422489	15468482	45993	6
EUR_10	16620763	16643210	22447	3
EUR_10	17006341	17046677	40336	6
EUR_10	17047990	17049268	1278	1
EUR_10	23598533	23685874	87341	12
EUR_10	25036175	25059948	23773	3
EUR_10	25271432	25303883	32451	5
EUR_10	25449426	25457748	8322	2
EUR_10	29845482	30005156	159674	21
EUR_10	31379113	31417248	38135	5
EUR_10	32404436	32427441	23005	3
EUR_10	35997174	36045432	48258	7
EUR_10	36198454	36438481	240027	31
EUR_10	36534455	36556603	22148	3
EUR_10	41000258	41122696	122438	16
EUR_10	41170307	41265986	95679	13
EUR_10	45262397	45300374	37977	5
EUR_10	46012809	46015996	3187	1
EUR_10	46234794	46426354	191560	25
EUR_10	47375663	47401302	25639	4
EUR_10	2955498	3012872	57374	8
EUR_10	6602745	6607910	5165	1
EUR_10	6632925	6679305	46380	6
EUR_10	10918022	10960271	42249	6
EUR_10	11216018	11305525	89507	12
EUR_10	11360944	11448832	87888	12
EUR_10	16017613	16020167	2554	1
EUR_10	16620763	16643210	22447	3
EUR_10	17464442	17468389	3947	1
EUR_10	17795981	17965967	169986	22
EUR_10	19518241	19572494	54253	7
EUR_10	19634530	19653747	19217	3
EUR_10	25002639	25038480	35841	5
EUR_10	25042635	25096390	53755	7
EUR_10	25271432	25303883	32451	5
EUR_10	25449426	25457748	8322	2
EUR_10	27583322	27622585	39263	5
EUR_10	30527970	30531255	3285	1
EUR_10	32206668	32338373	131705	17
EUR_10	32404436	32427441	23005	3
EUR_10	32530188	32616759	86571	11
EUR_10	36025195	36063690	38495	5
EUR_10	36520464	36570547	50083	7
EUR_10	41202794	41221991	19197	3
EUR_10	47939354	47944895	5541	1
EUR_11	864720	879695	14975	2
EUR_11	1893530	1901169	7639	1
EUR_11	2035623	2183723	148100	19
EUR_11	3168537	3231239	62702	8
EUR_11	3337799	3437224	99425	13
EUR_11	4774414	4786172	11758	2
EUR_11	6602745	6677645	74900	10
EUR_11	10600195	10600945	750	1
EUR_11	11216018	11232841	16823	3
EUR_11	11630302	11705104	74802	10
EUR_11	13761312	13767951	6639	1
EUR_11	17035396	17049268	13872	2
EUR_11	25036175	25059948	23773	3
EUR_11	25326987	25395086	68099	9
EUR_11	25513659	25588077	74418	10
EUR_11	30527970	30531255	3285	1
EUR_11	31397377	31418920	21543	3
EUR_11	40524070	40531689	7619	1
EUR_11	40589603	40719108	129505	17
EUR_11	41896558	41897997	1439	1
EUR_11	41986958	42003534	16576	3
EUR_11	1195199	1247512	52313	7
EUR_11	2183069	2207970	24901	4
EUR_11	3629717	3635080	5363	1
EUR_11	6602745	6607910	5165	1
EUR_11	6632925	6679305	46380	6
EUR_11	7699085	7709509	10424	2
EUR_11	7764827	7908597	143770	19
EUR_11	10918022	10937334	19312	3
EUR_11	11231187	11305525	74338	10
EUR_11	11360944	11376232	15288	2
EUR_11	11411292	11448832	37540	5
EUR_11	11576374	11581877	5503	1
EUR_11	17795981	17983358	187377	24
EUR_11	19332471	19333614	1143	1
EUR_11	24990906	25001325	10419	2
EUR_11	25019110	25159081	139971	18
EUR_11	25312497	25395086	82589	11
EUR_11	25513659	25515534	1875	1
EUR_11	27864112	27920486	56374	8
EUR_11	31397377	31429485	32108	5
EUR_11	33115326	33138568	23242	3
EUR_11	36562799	36570547	7748	1
EUR_11	41000258	41199187	198929	26
EUR_11	41896558	41897997	1439	1
EUR_11	46391591	46422460	30869	4
EUR_11	47943342	47995369	52027	7
EUR_11	49270526	49300839	30313	4
EUR_12	1691256	1698752	7496	1
EUR_12	4105281	4111093	5812	1
EUR_12	6698003	6721164	23161	3
EUR_12	10600195	10600945	750	1
EUR_12	11216018	11305525	89507	12
EUR_12	11576374	11581877	5503	1
EUR_12	11630302	11682054	51752	7
EUR_12	11691089	11705104	14015	2
EUR_12	12485443	12493640	8197	2
EUR_12	14332120	14370739	38619	5
EUR_12	14716633	14723200	6567	1
EUR_12	17020844	17049268	28424	4
EUR_12	17799560	17983358	183798	24
EUR_12	25429461	25542673	113212	15
EUR_12	32404436	32417734	13298	2
EUR_12	33193910	33215777	21867	3
EUR_12	36513377	36534857	21480	3
EUR_12	40589603	40700239	110636	14
EUR_12	41110284	41137159	26875	4
EUR_12	46391591	46404930	13339	2
EUR_12	1691256	1843036	151780	20
EUR_12	1848930	1849107	177	1
EUR_12	2105113	2106323	1210	1
EUR_12	4077261	4111093	33832	5
EUR_12	5463548	5470404	6856	1
EUR_12	5647865	5666767	18902	3
EUR_12	6567114	6600481	33367	5
EUR_12	6632925	6678576	45651	6
EUR_12	10419745	10500263	80518	11
EUR_12	10579081	10600945	21864	3
EUR_12	10918022	10946307	28285	4
EUR_12	11216018	11300483	84465	11
EUR_12	13126809	13266111	139302	18
EUR_12	25045274	25096390	51116	7
EUR_12	25156063	25200643	44580	6
EUR_12	30527970	30531255	3285	1
EUR_12	31397377	31418920	21543	3
EUR_12	31810195	31833429	23234	3
EUR_12	32486086	32580983	94897	12
EUR_12	33331719	33407005	75286	10
EUR_12	41018197	41126897	108700	14
EUR_12	41230434	41293961	63527	9
EUR_12	45278228	45291241	13013	2
EUR_12	47306832	47398829	91997	12
EUR_12	47939354	48009694	70340	9
EUR_13	2035623	2183723	148100	19
EUR_13	2689398	2850589	161191	21
EUR_13	5430664	5442656	11992	2
EUR_13	7671170	7821324	150154	19
EUR_13	11066790	11122255	55465	7
EUR_13	11216018	11305525	89507	12
EUR_13	11360944	11448832	87888	12
EUR_13	12722250	12725608	3358	1
EUR_13	13779991	13830962	50971	7
EUR_13	14355681	14389100	33419	5
EUR_13	14716633	14723200	6567	1
EUR_13	14995879	15000465	4586	1
EUR_13	16981590	17046677	65087	9
EUR_13	17047990	17049268	1278	1
EUR_13	17464442	17527378	62936	8
EUR_13	25002639	25038480	35841	5
EUR_13	25042635	25096390	53755	7
EUR_13	25271432	25303883	32451	5
EUR_13	25449426	25457748	8322	2
EUR_13	27583322	27622585	39263	5
EUR_13	31857402	31878461	21059	3
EUR_13	31903723	31913862	10139	2
EUR_13	32203428	32338373	134945	18
EUR_13	32355519	32361768	6249	1
EUR_13	33142597	33174401	31804	5
EUR_13	40538208	40541166	2958	1
EUR_13	41889952	42003534	113582	15
EUR_13	46361026	46426354	65328	9
EUR_13	47317924	47398829	80905	11
EUR_13	48303107	48400149	97042	13
EUR_13	1164478	1247512	83034	11
EUR_13	2031684	2076710	45026	6
EUR_13	2183069	2207970	24901	4
EUR_13	4105281	4111093	5812	1
EUR_13	6602745	6693324	90579	12
EUR_13	10875976	10880965	4989	1
EUR_13	11219386	11232841	13455	2
EUR_13	11630302	11705104	74802	10
EUR_13	14716633	14723200	6567	1
EUR_13	15277259	15371253	93994	12
EUR_13	17795981	17983358	187377	24
EUR_13	21296343	21369344	73001	10
EUR_13	24917505	25026027	108522	14
EUR_13	25330796	25408113	77317	10
EUR_13	25549037	25588077	39040	5
EUR_13	31336384	31355236	18852	3
EUR_13	31458689	31553001	94312	12
EUR_13	31969301	31982644	13343	2
EUR_13	49184424	49300839	116415	15
EUR_14	872827	887567	14740	2
EUR_14	2097738	2118622	20884	3
EUR_14	2586193	2591704	5511	1
EUR_14	2845976	2905888	59912	8
EUR_14	6602745	6607910	5165	1
EUR_14	6632925	6705310	72385	10
EUR_14	10436488	10459002	22514	3
EUR_14	10600195	10600945	750	1
EUR_14	11216018	11305525	89507	12
EUR_14	11360944	11448832	87888	12
EUR_14	11576374	11581877	5503	1
EUR_14	17802358	17983358	181000	23
EUR_14	19289490	19299322	9832	2
EUR_14	25002639	25038480	35841	5
EUR_14	25042635	25096390	53755	7
EUR_14	25271432	25309570	38138	5
EUR_14	25445356	25446530	1174	1
EUR_14	29275614	29342089	66475	9
EUR_14	36117337	36206135	88798	12
EUR_14	36534455	36556603	22148	3
EUR_14	41000258	41199187	198929	26
EUR_14	45278228	45280914	2686	1
EUR_14	45879695	45912009	32314	5
EUR_14	1173834	1247512	73678	10
EUR_14	1839886	1896093	56207	8
EUR_14	1960680	2049123	88443	12
EUR_14	2586193	2591704	5511	1
EUR_14	3040653	3231239	190586	25
EUR_14	4027908	4093603	65695	9
EUR_14	6528939	6602879	73940	10
EUR_14	6679093	6700305	21212	3
